human_gene_symbol	human_chromosome
KIR3DP1	CHR_HSCHR19KIR_RP5_B_HAP_CTG3_1
KIR2DS2	CHR_HSCHR19KIR_RP5_B_HAP_CTG3_1
KIR2DL1	CHR_HSCHR19KIR_ABC08_AB_HAP_C_P_CTG3_1
KIR2DS4	CHR_HSCHR19KIR_FH06_BA1_HAP_CTG3_1
KIR2DL3	CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1
	CHR_HSCHR19KIR_G248_BA2_HAP_CTG3_1
KIR2DS4	CHR_HSCHR19KIR_FH05_A_HAP_CTG3_1
KIR2DP1	CHR_HSCHR19KIR_ABC08_AB_HAP_C_P_CTG3_1
NCR1	CHR_HSCHR19KIR_FH06_BA1_HAP_CTG3_1
KIR2DL4	CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1
KIR2DL2	CHR_HSCHR19KIR_G248_BA2_HAP_CTG3_1
KIR3DP1	CHR_HSCHR19KIR_ABC08_AB_HAP_C_P_CTG3_1
LILRP1	CHR_HSCHR19KIR_ABC08_AB_HAP_C_P_CTG3_1
KIR3DL1	CHR_HSCHR19KIR_FH05_A_HAP_CTG3_1
	CHR_HSCHR19KIR_ABC08_AB_HAP_C_P_CTG3_1
KIR2DL4	CHR_HSCHR19KIR_ABC08_AB_HAP_C_P_CTG3_1
KIR2DS3	CHR_HSCHR19KIR_T7526_BDEL_HAP_CTG3_1
KIR3DL1	CHR_HSCHR19KIR_ABC08_AB_HAP_T_P_CTG3_1
KIR2DL5A	CHR_HSCHR19KIR_T7526_BDEL_HAP_CTG3_1
KIR2DL4	CHR_HSCHR19KIR_FH06_BA1_HAP_CTG3_1
LILRP2	CHR_HSCHR19KIR_RSH_BA2_HAP_CTG3_1
KIR3DP1	CHR_HSCHR19KIR_T7526_BDEL_HAP_CTG3_1
KIR2DL1	CHR_HSCHR19KIR_G248_BA2_HAP_CTG3_1
KIR2DL4	CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1
LILRP1	CHR_HSCHR19KIR_T7526_BDEL_HAP_CTG3_1
LINC01839	CHR_HSCHR3_5_CTG2_1
KIR2DS5	CHR_HSCHR19KIR_RSH_BA2_HAP_CTG3_1
KIR2DL2	CHR_HSCHR19KIR_T7526_BDEL_HAP_CTG3_1
LINC02054	CHR_HSCHR3_5_CTG2_1
KIR2DL5B	CHR_HSCHR19KIR_RSH_BA2_HAP_CTG3_1
KIR3DP1	CHR_HSCHR19KIR_FH15_A_HAP_CTG3_1
CCDC92	CHR_HSCHR12_6_CTG2_1
KIR3DL3	CHR_HSCHR19KIR_LUCE_A_HAP_CTG3_1
KIR3DS1	CHR_HSCHR19KIR_T7526_BDEL_HAP_CTG3_1
KIR3DL1	CHR_HSCHR19KIR_FH15_A_HAP_CTG3_1
KIR3DP1	CHR_HSCHR19KIR_FH13_A_HAP_CTG3_1
KIR3DL3	CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1
KIR3DL2	CHR_HSCHR19KIR_FH13_A_HAP_CTG3_1
KIR3DP1	CHR_HSCHR19KIR_FH05_B_HAP_CTG3_1
KIR3DP1	CHR_HSCHR19KIR_T7526_A_HAP_CTG3_1
NCR1	CHR_HSCHR19KIR_FH06_A_HAP_CTG3_1
LILRP1	CHR_HSCHR19KIR_T7526_A_HAP_CTG3_1
KIR2DL4	CHR_HSCHR19KIR_T7526_A_HAP_CTG3_1
FCAR	CHR_HSCHR19KIR_FH05_B_HAP_CTG3_1
KIR3DL1	CHR_HSCHR19KIR_FH06_BA1_HAP_CTG3_1
KIR3DL2	CHR_HSCHR19KIR_FH06_A_HAP_CTG3_1
	KI270744.1
	CHR_HSCHR1_1_CTG31
