human_gene_symbol	human_chromosome
PDYN-AS1	20
BSNDP2	20
CFTRP2	20
CRLS1	20
GGTLC1	20
CYP4F35P	18
C18orf25	18
FAM182B	20
	22
NEK2P2	22
TOMM40P2	22
CCT8L2	22
IGKV2OR22-3	22
CYCSP42	21
ANKRD62P1-PARP4P3	22
EIF4A1P1	21
LINC00307	21
ZNF402P	22
RPL13AP7	21
KRTAP19-4	21
FABP5P11	22
CHEK2P4	22
REM1	20
ACTR3BP7	22
KRTAP19-5	21
IGKV1OR22-5	22
SKA1	18
CCT8	21
ABCD1P4	22
SLC25A15P5	22
PABPC1P9	22
FDX1P1	20
HSFY1P1	22
POM121L3P	20
LINC00656	20
CST2	20
ADA2	22
CST12P	20
DSTN	20
RPL17P46	18
SMUG1P1	18
RSL24D1P9	18
EPG5	18
CFTRP3	20
POLR3F	20
VN1R108P	20
BPIFB2	20
STK35	20
LINC01665	22
NCAM2	21
TMEM191B	22
DUX4L35	20
LINC01597	20
MTCO2P2	18
SINHCAFP1	18
RPS24P18	18
XPOTP1	20
LRRN4	20
CECR3	22
RPS18P1	20
BNIP3P2	22
ANKRD62P1	22
SCRT2	20
ZNF72P	22
ISM1-AS1	20
GRAMD4P2	22
MED15P7	22
ATP5F1A	18
NCOA6	20
KRTAP13-3	21
KRTAP26-1	21
NBEAP3	22
KRTAP13-1	21
RNGTTP1	21
KRTAP13-6P	21
PI4KA	22
OR4K12P	21
LTN1	21
LINC01690	21
RPL37P4	21
APP-DT	21
MAP1LC3P	18
APP	21
ADAD1P2	18
CFTRP1	20
CIAPIN1P	18
DEFB127	20
CFAP53	18
THBD	20
KIF3B	20
RHOT1P1	18
LINC01723	20
RPRD1A	18
SUSD2P2	22
FRG1GP	22
GLRXP1	20
DEFB117	20
IGKV3OR22-2	22
SPTLC3	20
FAM230G	22
FAM247B	22
BMS1P22	22
DUX4L32	20
BPIFA4P	20
KCNMB3P1	22
IGKV2OR22-4	22
POTEH-AS1	22
HSPE1P1	20
GSTM3P1	20
MACROD2-AS1	20
PARP4P3	22
CECR7	22
FAM182A	20
RIT2	18
TMEM121B	22
GPM6BP3	22
SLC9B1P4	22
DUXAP8	22
PPP1R26P2	22
BPIFA1	20
GGT2	22
CTAGE1	18
SNRPGP2	18
FAM230A	22
GAPDHP66	18
POLR3GP2	18
TINF2	CHR_HG1_PATCH
IL17RA	22
CEP76	18
MTND1P17	22
NF1P6	22
ACSS2	20
CA15P2	22
FAM246A	22
TGM1	CHR_HG1_PATCH
SMPD4P1	22
TERF1P2	18
SYT4	18
BCRP5	22
TPTEP1	22
HRH4	18
BCRP6	22
GGTLC3	22
CCDC74BP1	22
RPL32P5	22
RABGGTA	CHR_HG1_PATCH
CLTCL1	22
RBBP8	18
CXADRP1	21
RPSAP64	21
DSCR4	21
ATP5MFP1	21
KRTAP22-2	21
TPT1P1	21
TMEM50B	21
KRTAP19-1	21
C21orf62-AS1	21
RPS5P2	21
LINC01423	21
LINC01549	21
KRTAP6-3	21
CLDN8	21
CNN2P7	21
TTC3-AS1	21
BAGE2	21
FAM243A	21
BTF3P6	21
KRTAP19-3	21
DSCR8	21
LINC01387	18
L3MBTL4-AS1	18
LINC01416	18
IGLV3-21	22
LINC00113	21
TTC39C	18
CECR9	22
TERF1P1	21
PSMD4P1	21
IGKV1OR22-1	22
HUNK-AS1	21
FAM32BP	22
FAM246B	22
PSLNR	22
DHRS1	CHR_HG1_PATCH
HUNK	21
RIMBP3	22
IGLV3-2	22
PI4KAP1	22
GAPDHP16	21
EIF3FP1	21
C21orf91	21
SLC14A2-AS1	18
FAT1P1	20
DUX4L33	20
AIMP1P1	20
DEFB115	20
DCC	18
LINC00308	21
MIR663AHG	20
NOP9	CHR_HG1_PATCH
SNX18P12	21
DSCR4-IT1	21
IGLL4P	22
MORC3	21
IGLV3-29	22
MED15	22
CIDEB	CHR_HG1_PATCH
PAXBP1	21
MAPK4	18
LTB4R2	CHR_HG1_PATCH
LTB4R	CHR_HG1_PATCH
VN1R76P	18
ATP7BP1	18
SIGLEC15	18
ADCY4	CHR_HG1_PATCH
RNF165	18
TP53INP2	20
NF1P5	18
CST2P1	20
RPSAP57	18
CST9LP1	20
CUPIN1P	18
MED28P7	20
RPS27AP2	20
MRO	18
JAG1	20
PPP2R3B	X
NIPA2P3	21
RPS5P3	21
C21orf62	21
KRTAP19-9P	21
DSCR9	21
RPL14P5	X
MTND6P12	X
	X
HADHBP1	X
PRKX-AS1	X
PRKX	X
DSCR10	21
RPL23AP12	21
ZNF114P1	21
LINC00159	21
KRTAP19-11P	21
SLC23A2	20
ASMTL-AS1	X
ROCK1	18
DRAXINP1	X
VCX2	X
RIPK3	CHR_HG1_PATCH
ITSN1	21
ANAPC15P1	X
FRG1FP	22
NOLC1P1	X
IL3RA	X
IGLC2	22
IGLVI-20	22
PPP1R26P5	22
VWFP1	22
IGLVVI-22-1	22
IGLV2-28	22
IGLV3-6	22
IGLV2-8	22
FAM230H	22
NFATC4	CHR_HG1_PATCH
P2RY8	X
RPS5P8	X
MTCYBP12	X
RPS27AP20	X
TMSB4X	X
PCAT14	22
IGLV3-12	22
RPL6P30	X
SLC25A6	X
POM121L1P	22
ASLP1	22
STK25P1	18
IGLV3-24	22
IGLL5	22
C18orf12	18
ST8SIA3	18
AMELX	X
MMP11	22
PPIAP3	20
CYB5AP4	20
CST9L	20
HAUS1	18
ASMT	X
SLC9A3P2	22
IGLV3-25	22
IGLV3-10	22
BSNDP3	20
FAM242B	20
IGLV3-9	22
IGLV2-11	22
RPL21P3	20
DUX4L37	20
RNF185-AS1	22
DHRSX-IT1	X
IGLV3-7	22
GTPBP6	X
ZNF280A	22
PI3	20
SEMG2	20
LINC01203	X
OSBP2	22
KCNS1	20
RNF152	18
CCDC68	18
LINC01734	20
LNCNEF	20
SEC23B	20
DHRSX	X
SHROOM2	X
RPLP0P11	18
SMAD2	18
RARRES2P3	X
ANOS1	X
ASMTL	X
CACNA1C-IT1	CHR_HG1815_PATCH
CACNA1C-AS4	CHR_HG1815_PATCH
CACNA1C-IT3	CHR_HG1815_PATCH
CACNA1C-AS3	CHR_HG1815_PATCH
CACNA1C-AS2	CHR_HG1815_PATCH
CRLF2	X
CACNA1C-AS1	CHR_HG1815_PATCH
ITFG2-AS1	CHR_HG1815_PATCH
RPL24P9	X
FAM9B	X
RAB27B	18
FANCB	X
CYP2D6	CHR_HSCHR22_8_CTG1
GRP	18
LINC00106	X
HCCS	X
NPIPB1P	18
TASP1	20
TNFRSF11A	18
HIKESHIP1	X
NLGN4X	X
NANP	20
CTNNBL1	20
IGLV3-16	22
PRAME	22
	CHR_HSCHR22_8_CTG1
FAM9C	X
FEM1AP2	18
CYP2D8P	CHR_HSCHR22_8_CTG1
TXNL1	18
GOT2P7	X
TCF20	CHR_HSCHR22_8_CTG1
FAM9A	X
IGLV3-4	22
IGLJ3	22
FAM247A	22
E2F6P3	22
IGLV3-32	22
IGLV3-1	22
ISCA2P1	22
ZNF280B	22
IGLV2-5	22
VPREB3	22
MRPS5P4	18
CTIF	18
VN1R9P	22
ABHD17AP4	22
SRPX	X
ASCC2	22
LINC00871	CHR_HSCHR14_9_CTG1
LINC00685	X
GRPR	X
WFDC9	20
TMSB10P2	X
BEND2	X
SOGA1	20
MOSPD2	X
LINC01924	18
RPL29P32	18
LINC01919	18
FAM3C2P	X
LINC01456	X
ADA	20
FTH1P14	X
RPL35AP37	X
ARIH2P1	18
RDXP2	X
CLDN7P1	X
TMEM47	X
ME2	18
UBE2E4P	X
UBTFL11	X
MDM4P1	X
H2AZP6	22
BAG1P1	X
NPM1P9	X
BRK1P1	X
SRSF2P1	X
IGLJ4	22
PTP4A1P5	X
LIF-AS1	22
KLHL34	X
AKAP17A	X
SYN3	22
SMPX	X
LINC01728	20
IGLV2-34	22
DUXAP7	20
LINC00489	20
MYO18B-AS1	22
SEMG1	20
CNKSR2	X
WFDC10A	20
PGBD4P2	20
FAM230B	22
LINC01260	20
WFDC5	20
LINC00652	20
IGLV4-3	22
PPP1R16B	20
POM121L8P	22
FAM230I	22
GAREM1	18
IGLV2-18	22
IGLV3-15	22
LINC01422	22
OSM	22
HMGN1P31	18
POM121L4P	22
GLUD1P4	18
AP1B1P2	22
GUSBP11	22
RPL7AP66	18
DSEL-AS1	18
NCOR1P1	20
ATP6V1E1P2	18
KIAA1755	20
PSTPIP2	18
CTDNEP1	CHR_HG2087_PATCH
DRG1	22
BPIFB9P	20
MIR4527HG	18
ZNF337	20
RPIAP1	18
ZBTB7C	18
TOMM34	20
CDC42EP1	22
BPIFB6	20
ZNRF3-IT1	22
LINC02557	22
IGLV3-22	22
IGLV3-30	22
IGLC4	22
NPM1P19	20
HORMAD2	22
RPL12P3	20
DHX35-DT	20
PTPRT-AS1	20
DHX35	20
	CHR_HG2087_PATCH
ELP5	CHR_HG2087_PATCH
CLDN14	21
FBXO7	22
DIP2A-IT1	21
NCOR1P4	21
KCNJ6	21
ATP5PO	21
LINC01917	18
ELOCP27	18
ZCCHC2	18
NCF4	22
SNX18P26	13
GXYLT1P1	13
MRPL3P1	13
CNN2P12	13
LINC00349	13
LINC00328-2P	13
	13
ANKRD20A9P	13
SNX19P2	13
ANKRD26P4	13
TERF1P5	13
RAD23BP3	21
C1QTNF9	13
KRTAP27-1	21
KCNJ6-AS1	21
LINC01700	21
FDX1P2	21
TOX2	20
CHODL	21
LINC00421	13
PARP4	13
BOD1L2	18
CPLX4	18
YBEY	21
RIOK3	18
ZNF70	22
CLDN7	CHR_HG2087_PATCH
SNORA71B	20
KCNK15-AS1	20
IGLV3-31	22
IGLJ2	22
MIATNB	22
GAPDHP54	20
EYA2	20
LINC02558	22
VPS26C	21
SFI1	22
SLC2A4	CHR_HG2087_PATCH
OTC	X
FBXO15	18
SYTL5	X
LINC00310	21
CDRT15P9	21
LINC00314	21
S100B	21
SLC35C2P1	X
LINC01283	X
VDAC2P1	21
MCM3AP	21
EIF5P2	X
TFDP1P2	X
USP12-AS2	13
METTL1P1	X
SC4MOP	X
PLLPP1	X
FTH1P27	X
MIPEP	13
TXLNG	X
YBX2	CHR_HG2087_PATCH
HNRNPA3P16	18
NPC1	18
LINC02871	20
WFDC12	20
RPS15AP40	X
HMGB1P16	X
RPL12P49	X
GAPDHP65	X
PPP4R3C	X
GLRA2	X
YWHAB	20
EIF5A	CHR_HG2087_PATCH
CBX1P2	X
PDCL2P1	X
LINC00442	13
TDGF1P1	X
PGAM1P7	X
WFDC11	20
PSPC1P1	13
ADGRG2	X
RHOT1P3	13
RNF17	13
WDR7-OT1	18
SLC25A52	18
ELMO2	20
MYO5B	18
CYP4F29P	21
LINC01666	21
BACH1	21
BNIP3P6	14
	14
CDRT15P13	14
CYYR1-AS1	21
KRTAP20-3	21
GRAMD4P4	14
SPATA20P1	21
RPS26P5	21
KRTAP22-1	21
TOMM40P1	14
POTEM	14
KRTAP13-2	21
GPS2	CHR_HG2087_PATCH
PSMA6P3	21
SAMSN1-AS1	21
LINC00114	21
TTC3	21
NF1P10	14
MED15P1	14
LINC01544	18
OR11H13P	14
ZNF24	18
NBEAP6	14
NF1P7	14
CES5AP1	22
CYCSP33	13
MRPS31P2	13
RPL22P20	14
TPTE2P6	13
PSPC1-AS2	13
IGLV3-19	22
LSP1P1	13
NEK2P1	14
CACNA1I	22
TRDJ1	14
ZNF962P	13
TRDV2	14
FAM207BP	13
SEC11C	18
TRAJ60	14
POMP	13
TRDD1	14
TRAJ54	14
TRAJ49	14
TRDJ3	14
TRDD3	14
NOVA1	14
LINC00297	13
CDH7	18
KATNAL1	13
NEURL4	CHR_HG2087_PATCH
NBEAP5	14
TRAJ48	14
TRAJ59	14
DUXAP9	14
TRAJ61	14
TPGS2	18
TRDC	14
TRAJ58	14
TRDJ4	14
RPL26P34	13
LINC00365	13
ARHGAP5-AS1	14
LINC02293	14
RPL17P51	13
HSPD1P9	13
LINC01427	20
TRAJ47	14
TRDJ2	14
MPHOSPH8	13
G2E3-AS1	14
TGM2	20
TRAJ56	14
KIAA1143P1	14
NUBPL-DT	14
LINC02294	14
HEATR5A-DT	14
NUBPL	14
GGT4P	13
C1QTNF9-AS1	13
STK4-AS1	20
UBE2L5	13
CDC27P3	20
BPIFB5P	20
RIPOR3	20
CCNA1	13
ARHGAP16P	14
BMS1P17	14
TRDD2	14
RPL32P29	14
LINC02277	14
SNX6	14
RPL35AP	20
ATG3P1	20
SPATA2	20
FAM83D	20
RPS3AP51	22
IGLL1	22
SLC2A10	20
TNRC6B	22
RPS2P7	20
KCNB1	20
SERPINB10	18
KCNK15	20
RPL18AP2	21
PAN3-AS1	13
ETS2	21
PUDPP3	20
CCNQP3	13
CDH22	20
USPL1	13
MC4R	18
LINC01903	18
MTND1P9	20
RNF114	20
TRAJ53	14
KRT8P2	14
TRAJ45	14
TMX3	18
ACAP1	CHR_HG2087_PATCH
ATP5MC2P2	14
TRAJ52	14
FKBP3	14
LINC00384	13
URAD	13
IGLVVI-25-1	22
IGLC3	22
MTCO3P2	13
PARP4P2	13
PIK3IP1	22
HMGB1	13
TRAJ55	14
CDC42P1	20
KRT18P4	20
FOXA1	14
PPIAP10	20
LINC01754	20
LINC01746	20
DIP2A	21
LINC00645	14
CFAP61-AS1	20
IGLC1	22
DUX4L34	20
HORMAD2-AS1	22
SLC25A21	14
SLC35C2	20
SLC35E4	22
KCTD11	CHR_HG2087_PATCH
TMEM95	CHR_HG2087_PATCH
ISX	22
RPL31P9	18
ACTBP9	18
GLRX5P3	14
ARHGAP42P5	14
RMC1	18
TXNDC16	14
RAI2	X
PLA2G6	22
STARD13-AS	13
FTLP16	X
RBM39P1	X
CTPS2	X
TRDV3	14
SOHLH2	13
LINC00648	14
PTGDR	14
LRR1	14
LINC-ROR	18
CTBP2P3	18
PDHA1	X
SS18L2P2	18
RPL17P44	18
SERPINB7	18
ST6GALNAC4P1	13
FEM1AP4	13
CYP51A1P2	13
TP53RK-DT	20
LINC02286	14
LINC00572	13
APCDD1L	20
TEX26-AS1	13
LINC02315	14
LINC02307	14
KRT8P1	14
FSCB	14
EDEM2	20
LINC02313	14
LRFN5-DT	14
RPS26P54	18
FAM32DP	18
FERMT2	14
LINC01912	18
KRTAP6-1	21
DSTNP1	21
USP24P1	13
COL6A2	21
GPALPP1	13
DHFRP1	18
BDP1P	18
LINC01908	18
TNIP2P1	X
GAPDHP1	X
S100G	X
LINC01523	20
RBM22P1	18
FRG1DP	20
WDR13	X
CDH20	18
LINC01721	20
RBBP9	20
MCAT	22
NCOA3	20
MKI67P1	X
IGLJ1	22
CPSF1P2	X
H2AP	X
LINC00330	13
GPX1P1	X
LIMK2	22
RP2	X
WBP2P1	18
MTL3P	18
HSPH1	13
CYBB	X
RPL30P14	18
LINC01909	18
PTPN2	18
MBTPS2	X
RPL23AP4	21
PCNT	21
MOB1AP2	X
FAM47DP	X
NR0B1	X
SIAH1P1	X
MAGEB17	X
RPP40P1	X
TPTEP2	22
FAM47B	X
SCML2	X
DTD2	14
PSMC6	14
KCNJ15	21
REPS2	X
SLC5A1	22
ANKRD30BP2	21
LINC02559	22
SRSF6P1	X
LIF-AS2	22
CTNNBL1P1	X
MAPK6P2	21
YBX1P8	X
ZNF355P	21
PYY3	X
MAFF	22
VN1R110P	X
TSR2	X
CRYZL1	21
RNF11P2	20
NINL	20
NANOGP10	X
LINC00519	14
NFYCP1	X
EFHC2	X
SLC25A21-AS1	14
IGLV3-27	22
TRAJ51	14
HMGN2P6	14
BCRP4	22
ENTHD1	22
PRPF39-DT	14
SEH1L	18
SYN3-AS1	22
LINC01204	X
RPS3AP46	14
MN1	22
HMGB1P15	X
MED14	X
TPTEP2-CSNK1E	22
MC3R	20
LIF	22
PABPC1L	20
PSMA3P1	14
RRAGAP1	14
PPIAP5	14
TRAJ57	14
CYTH4	22
MAD2L1P1	14
LINC02322	14
NOVA1-DT	14
TMEM30B	14
GNRHR2P1	14
LRRC9	14
SINHCAFP2	18
N6AMT1	21
LMAN1	18
CHST7	X
FGF7P2	21
MFFP3	X
POLR2CP1	21
CHTF8P1	X
ANKRD30BP1	21
VN1R8P	21
GTF2IP2	21
USP27X	X
CCNYL5	X
NRIP1	21
ENSAP1	20
CLCN5	X
BPI	20
GPR137C	14
IGLV3-17	22
KRT18P23	22
SON	21
NOL12	22
RPS3AP49	18
RPS20P32	13
ZNF396	18
FABP3P2	13
LINC02340	13
PCNX4	14
MTUS2-AS1	13
UBA52P9	18
NUFIP1	13
PHLPP1	18
KPNA3	13
AHCY	20
FBLN1	22
DDX53	X
MIR4307HG	14
CDH19	18
UQCR10P1	X
TPT1P14	X
CHMP5P1	X
AMZ2P3	X
RDXP3	X
FTH1P19	X
MAGEB16	X
MAGEB10	X
H2AL1QP	X
RIPOR3-AS1	20
LINC00871	14
IPO7P1	X
ITIH6	X
SUN5	20
SIX1	14
RBM3	X
LINC00683	18
PPP2R5E	14
PTCHD1	X
LINC01522	20
SMARCE1P5	13
LINC01066	13
ANKRD20A11P	21
BSNDP1	20
CRYL1	13
SYAP1	X
PREX1	20
CCND3P2	18
LINC02565	18
RHOT1P2	21
MTMR8	X
DLGAP1-AS3	18
LINC01674	21
HNRNPA1P7	18
ADAMTS5	21
SLC14A1	18
KRT8P14	X
GRPEL2P2	X
FTHL18P	X
ZFRP1	X
CDKL5	X
SNRPGP13	21
LINC01670	21
MIR8069-1	21
LINC00398	13
MIR3648-2	21
MIR6724-2	21
SMPD4P2	13
MIR6724-3	21
RNA5-8SN3	21
MIR6724-4	21
RNA5-8SN1	21
LINC00562	13
MIR6724-1	21
MIR3648-1	21
RNA5-8SN2	21
MIR3118-1	21
MIR8069-2	21
RNU6-286P	21
RN7SL52P	21
RNU6-113P	21
RPS21P8	13
RN7SKP147	21
RNU6-1326P	21
RNU6-772P	21
RNU1-98P	21
RNU2-55P	21
RNU6-426P	21
SNORD74B	21
MIR99A	21
RBM22P2	13
RNU1-139P	21
RNU4-45P	21
MIRLET7C	21
MIR125B2	21
MIR3156-3	21
ATP5F1EP2	13
RN7SKP236	21
RN7SL163P	21
MIR155	21
MIR6130	21
RNA5SP489	21
MIR4759	21
MIR548X	21
CDX2	13
RNU6-614P	21
RNU6-123P	21
RNU6-926P	21
MIR4327	21
LGALS2	22
RN7SL678P	21
RN7SL740P	21
RNU6-396P	21
MIR6501	21
SNORA80A	21
URB1-AS1	21
PAN3	13
C2CD2	21
CBX7	22
PNPLA3	22
LINC02331	14
UQCC1	20
ZBTB21	21
DDHD1-DT	14
STYX	14
DRICH1	22
LINC00332	13
UMODL1-AS1	21
EFCAB6	22
ZNF295-AS1	21
CAB39L	13
LINC00160	21
RHOQP1	14
LINC01426	21
ATP5F1CP1	14
RPL34P3	21
L3HYPDH	14
EZH2P1	21
MIR802	21
RPS20P1	21
PPP1R2P2	21
RPL23AP3	21
RIMKLBP1	21
SETD4-AS1	21
ERCC6L	X
RAC1P1	18
RNU6-992P	21
RPS2P6	18
CBR1	21
WASHC3P1	X
SMIM21	18
EIF1AXP2	14
NUDT11	X
LINC02319	14
C14orf39	14
PFKFB1	X
MEMO1P1	21
RPS9P1	21
CBR3	21
RPL3P1	21
RUNX1	21
C18orf21	18
RPL17P2	14
LINC02290	14
ELFN2	22
KCTD1	18
TBC1D22A	22
SIX6	14
RPS23P8	X
CFAP47	X
EVA1C	21
SIX4	14
CYCSP34	13
PRKCH-AS1	14
RGS17P1	13
CHCHD2P11	13
LINC01500	14
LINC02334	13
SLC39A6	18
TIMM9P3	13
PTGIS	20
LINC00457	13
SSBL2P	X
RAD17P2	13
FAM236B	X
SMIM2-IT1	13
NDP	X
PRDX2P1	13
SLC25A15	13
EXOSC3P1	21
RNA5SP490	21
YY2	X
ETF1P3	X
YWHAZP7	X
NRBF2P1	18
CFAP298	21
AIDAP3	18
DYNLT3	X
RPL23AP77	18
ZBTB14	18
SALL4P7	14
PLCB1	20
LINC00385	13
AKAP4	X
PPM1A	14
ANKRD20A10P	13
LINC00387	13
RPL12P39	18
DNAJC15	13
LINC01879	18
NPM1P2	18
GALR1	18
MAOB	X
LINC01901	18
LINC00412	13
OR7E23P	21
STARD13-IT1	13
MTHFD1	14
CFAP298-TCP10L	21
GPR12	13
ZNF521	18
LINC01076	13
MTUS2-AS2	13
YWHAZP8	X
IGBP1-AS1	X
KPNA4P1	X
VSIG4	X
GTF2F2	13
TCP10L	21
SCML2P1	18
HMSD	18
NCF4-AS1	22
PA2G4P3	18
AKR1B10P2	18
LINC02343	13
IMPACT	18
ZC4H2	X
C22orf42	22
SMIM34A	21
BTG3	21
POM121L13P	13
ESRRAP1	13
ZNF646P1	13
RPL19P20	X
JADE3	X
RPP40P2	13
PDXP-DT	22
LINC00458	13
ZBED4	22
SUMO3	21
PHF21B	22
PPIAP26	13
GAMTP2	13
WASF3	13
LINC02856	18
SDHCP1	18
FOXR2	X
MRPL39	21
CBLN2	18
SLC9A7	X
CCDC175	14
ZNF407-AS1	18
	4
SCOCP1	14
SLC10A1	14
POLN	4
LINC01905	18
SAMSN1	21
HNRNPDP1	X
RBMXP5	X
PHKA1-AS1	X
MAGEH1	X
ZNF674-AS1	X
LINC00366	13
RAB11FIP1P1	X
BMP2KL	X
SMIM15P1	X
SLC7A3	X
DHRS7	14
RPS3AP44	13
LINC00407	13
ANKRD26P3	13
CNN2P1	22
ANP32BP2	22
UPK3A	22
DGKK	X
ZNF516-DT	18
PIGG	4
UQCRFS1P1	22
LINC01644	22
RAX	18
RPL3	22
KRT8P5	18
C21orf58	21
LINC00305	18
LINC00269	X
NDP-AS1	X
SPIN4-AS1	X
PIR	X
LINC01927	18
LINC01893	18
PCNX1	14
LINC01898	18
RPL23AP83	X
PSMA5P1	X
CCT4P2	X
EDA2R	X
LINC02582	18
LINC01539	18
POSTN	13
BLOC1S2P1	X
PFN5P	X
CYSLTR1	X
SMIM11A	21
ATP6AP2	X
SIM2	21
MBP	18
CBLN4	20
DKKL1P1	20
BPIFB3	20
HLCS-IT1	21
RNA5SP491	21
DPRXP5	21
GTSE1	22
MRPL20P1	21
RIPPLY3	21
RNU6-696P	21
RRP1B	21
LINC01733	20
LINC00028	20
ATP9A	20
OR7E163P	4
RPL32P12	4
ERVH-1	4
PDE6B-AS1	4
EIF4ENIF1	22
ENPP7P9	4
PDXK	21
LINC00504	4
GPHB5	14
ABCA11P	4
ATP5F1AP4	14
GRPEL1	4
ADAM21P1	14
SALRNA1	14
ITCH-AS1	20
MNAT1	14
RALY	20
RAF1P1	4
SLC2A9	4
CCDC177	14
LINC01303	14
C14orf28	14
RNF212	4
RPL5P35	22
NUP50-DT	22
MRPS18CP6	22
IGLV3-26	22
EP300-AS1	22
DCAF4	14
LINC01643	22
CSTB	21
CFAP61	20
TMEM97P1	21
RRP1	21
LINC01097	4
TMEM271	4
HNRNPA1P65	4
EVC	4
TST	22
TBC1D22A-DT	22
ZNF516	18
LINC00229	22
SLC16A2	X
PDXP	22
LINC01545	X
PRR5-ARHGAP8	22
TERF1P7	X
LDHBP2	X
GOT2P6	X
MTND1P31	X
MTHFD1P1	X
ZCCHC13	X
HNRNPA1P11	18
TOMM20P4	X
FGD1	X
CHST9	18
AATBC	21
MYL6P1	21
DHX15	4
AGPAT3	21
KRT18P8	18
ZNF397	18
KRT8P27	X
MAGED2	X
JKAMP	14
RPS7P6	4
CRMP1	4
LINC01900	18
SNAI1	20
GAPDHP53	20
TRERNA1	20
LINC00668	18
RPL36P1	20
CDK5RAP1	20
COX5BP7	22
EIF4A3P1	18
WNT7B	22
TMEM241	18
RNU6-859P	21
RNU6-1150P	21
TRAPPC10	21
KLF8	X
SAMM50	22
SRMP2	14
SFR1P2	X
HNRNPH3P1	X
KIF4A	X
RHOJ	14
SOCS4	14
MXD4	4
KCNH5	14
H2AZP1	21
PWP2	21
CDC42P6	4
ZNF595	4
TTC38	22
THAP12P1	X
PSMA1P1	X
PCNPP4	X
XAGE2	X
DLG3-AS1	X
TPMTP4	X
SAR1AP4	X
LINC01678	21
FGF16	X
TRMT5	14
CPZ	4
P2RY10BP	X
MMADHCP1	X
CPXCR1	X
SERP2	13
DYRK1A	21
HMGN1P34	X
ZFYVE1	14
LINC01029	18
LINC00558	13
STK4	20
HDAC8	X
LINC01639	22
PRPF19P1	18
GNG5P5	13
ELP2	18
SLC25A17	22
FNDC3A	13
OR7E83P	4
CFAP99	4
LINC02473	4
STK32B	4
LINC01524	20
LINC01182	4
LINC01651	22
AP1B1P1	22
RNPS1P1	4
MSX1	4
TRIOBP	22
LINC00955	4
MTND2P31	4
SUSD6	14
OR7E162P	4
LINC01396	4
QDPR	4
PARP1P2	14
AKR1B1P5	14
MTRNR2L3	20
AKAP5	14
SLC17A9	20
PTTG4P	14
RAP1AP	14
RBM8B	14
PCNX4-DT	14
RPL7AP6	14
TUBBP3	14
C1QTNF7-AS1	4
IDUA	4
NCOA4P1	14
SIPA1L1-AS1	14
RPL21P7	14
RBM25-AS1	14
FUT8-AS1	14
RPL23AP71	14
PYGB	20
PRDM15	21
EGLN3	14
FHP1	13
RPS21P4	4
ATP5ME	4
CCDC169-SOHLH2	13
SEZ6L-AS1	22
PIK3IP1-DT	22
LINC02438	4
LINC00898	22
PPP1R3D	20
CYTL1	4
PFDN4	20
TTLL12	22
MYL5	4
LINC02306	14
SPTSSA	14
DEFB116	20
PSMA7	20
FOS	14
FREM2-AS1	13
TOMM22P3	13
EEF1A1P3	13
SUGT1P3	13
TRMT44	4
DEFB119	20
PRR5	22
LINC00640	14
CDH26	20
LHFPL6	13
PAPLN-AS1	14
GTF3AP2	14
HNRNPUP1	14
RPL9P6	14
PLEKHD1	14
WDR95P	13
TBC1D14	4
POLR3KP1	13
YBX1P1	14
LINC00459	13
LTBP2	14
SLC25A5P4	13
LINC00378	13
MRPS33P4	20
MAP1LC3A	20
RPL26P35	18
CD226	18
SPATA13-AS1	13
USP12-AS1	13
UPRT	X
PHKBP1	20
MLLT10P1	20
PRDX3P3	13
PRR20FP	13
ENTPD6	20
RPSAP53	13
DNAJA1P1	13
LINC01065	13
RNF125	18
SNRPCP13	4
TUBB4BP8	X
DIAPH3-AS1	13
DRD5	4
SETP4	X
ARL2BPP1	18
ELL2P3	13
SLC2A9-AS1	4
LINC01284	X
HNRNPA3P5	13
MIR5692B	21
BCRP9	13
PKNOX1	21
JAKMIP1	4
USP27X-DT	X
AKAP11	13
MTND2P25	X
DEPDC5	22
HDX	X
PIGN	18
SMIM2	13
CTDSPL2P1	X
CALM1P1	X
MZT1	13
CORO1CP1	X
EIF3MP1	X
UBE2V1P7	X
CYCSP43	X
LINC01496	X
NAP1L6P	X
ISCA2	14
UBE2V1P9	X
PABPC5	X
LINC01053	13
CBS	21
PABPC1L2A	X
SRIP2	X
ARL13A	X
LINC00448	13
JDP2	14
EEF1A1P15	X
H3P36	13
BRWD3	X
LINC00374	13
PCDH20	13
PROSER1	13
SPATA7	14
TBC1D25	X
SH3BP2	4
COPS8P1	X
RPSAP15	X
EIF4A1P10	X
SHC1P1	X
EDA	X
RPL37P21	13
MRPL32P1	X
CHM	X
COX7CP1	13
ERICH6B	13
STAU2P1	X
PIN4	X
LINC00547	13
RPL13AP25	13
KL	13
HNRNPA1P25	X
MRPL51P2	21
FRGCA	21
PPATP2	X
TTC3P1	X
HNRNPDLP3	X
FCF1P9	X
CRYAA	21
RPS29P28	X
LINC00395	13
TEX101P1	X
STIP1P3	X
U2AF1	21
KAT7P1	X
RPS6KA6	X
MARK2P12	13
IRX1P1	13
TPTE2P5	13
LINC00609	14
CYCSP1	14
WDR1	4
TOGARAM1	14
PCDH8	13
B3GNT2P1	X
CST9LP2	20
POF1B	X
RBBP8NL	20
RPL35AP31	13
PIBF1	13
LINC00687	20
KLHL4	X
CST3	20
