Seurat_S	Seurat_G2M	Macosko_IG1.S	Macosko_S	Macosko_G2.M	Macosko_M	Macosko_M.G1
		Zranb2	Ttll7	Nusap1	Plk1	Tsc22d1
			Tyms	Pif1	Poc1a	Tulp4
			Ube2t	Pknox1	Pom121	Ube2d2a
			Ubl3	Polq	Ppp1r10	Vangl1
			Usp1	Ppp1r2	Prpsap1	Vcl
			Zwint	Psmd11	Prr11	Wipf2
				Psrc1	Psmg3	Wwc1
				Rangap1	Ptp4a1	Yy1
				Rccd1	Ptpn9	Zbtb7a
				Rdh11	Pwp1	Zcchc10
				Rnf141	Qrich1	Zfp24
				Sap30	Rad51c	Zfp281
				Ska3	Rangap1	Zfp593
				Smc4	Rbm8a	
				Stat1	Rcan1	
				Stil	Rere	
				Stk17b	Rnf126	
				Suclg2	Rnf141	
				Tfap2a	Rnps1	
				Timp1	Rrp1	
				Tnpo2	Sephs1	
				Top2a	Sfpq	
				Traip	Shcbp1	
				Trim59	Smarcb1	
				Trmt2a	Smarcd1	
				Ttf2	Spag5	
				Tuba1a	Sptbn1	
				Tubb5	Srf	
				Tubb2a	Srsf3	
				Tubb4b	Ss18	
				Tubd1	Tacc3	
				Uaca	Thrap3	
				Ube2c	Tle3	
				Vps25	Tmem138	
				Vta1	Tnpo1	
				Wsb1	Tomm34	
				Znhit2	Tpx2	
					Trip13	
					Tsg101	
					Tsn	
					Ttk	
					Tubb4b	
					Txndc9	
					Txnrd1	
					Ube2d2a	
					Usp13	
					Usp16	
					Vangl1	
					Wsb1	
					Ywhah	
					Zc3hc1	
					Zmym1	
					Zfp207	
